1
22109
171977
S,1713
A00001,1297
A00002,814
A00003,1758
A00004,679
A00005,293
A00006,351
A00007,1440
A00008,665
A00009,66
A00010,1615
A00011,581
A00012,848
A00013,843
A00014,93
A00015,132
A00016,227
A00017,1275
A00018,343
A00019,1977
A00020,1596
A00021,159
A00022,374
A00023,62
A00024,1222
A00025,911
A00026,1215
A00027,1384
A00028,1325
A00029,582
A00030,503
A00031,1394
A00032,1714
A00033,749
A00034,1356
A00035,1137
A00036,496
A00037,1936
A00038,1693
A00039,688
A00040,1258
A00041,825
A00042,1218
A00043,1418
A00044,1764
A00045,446
A00046,707
A00047,461
A00048,780
A00049,155
A00050,84
A00051,708
A00052,747
A00053,1529
A00054,1372
A00055,1553
A00056,922
A00057,752
A00058,535
A00059,1768
A00060,1077
A00061,966
A00062,115
A00063,83
A00064,1562
A00065,221
A00066,867
A00067,98
A00068,1486
A00069,956
A00070,1636
A00071,290
A00072,1582
A00073,1654
A00074,718
A00075,771
A00076,940
A00077,956
A00078,297
A00079,775
A00080,204
A00081,753
A00082,604
A00083,1170
A00084,497
A00085,1795
A00086,646
A00087,185
A00088,1377
A00089,1802
A00090,215
A00091,1744
A00092,1401
A00093,1925
A00094,1610
A00095,291
A00096,710
A00097,1135
A00098,1855
A00099,1543
A00100,1579
A00101,609
A00102,975
A00103,1823
A00104,518
A00105,1794
A00106,1126
A00107,1092
A00108,810
A00109,600
A00110,613
A00111,1965
A00112,454
A00113,1759
A00114,1563
A00115,324
A00116,362
A00117,945
A00118,1585
A00119,1767
A00120,1574
A00121,681
A00122,720
A00123,1683
A00124,741
A00125,1892
A00126,889
A00127,1656
A00128,44
A00129,427
A00130,61
A00131,1805
A00132,1101
A00133,754
A00134,1196
A00135,1595
A00136,1778
A00137,780
A00138,651
A00139,703
A00140,668
A00141,1554
A00142,1374
A00143,777
A00144,1189
A00145,249
A00146,1290
A00147,1641
A00148,361
A00149,1286
A00150,1929
A00151,1764
A00152,1550
A00153,88
A00154,1969
A00155,897
A00156,1888
A00157,1291
A00158,1082
A00159,625
A00160,905
A00161,1469
A00162,1048
A00163,383
A00164,539
A00165,808
A00166,863
A00167,1700
A00168,563
A00169,1968
A00170,545
A00171,1582
A00172,293
A00173,881
A00174,1099
A00175,19
A00176,1307
A00177,1943
A00178,494
A00179,491
A00180,602
A00181,1247
A00182,1295
A00183,757
A00184,498
A00185,296
A00186,254
A00187,1013
A00188,784
A00189,298
A00190,1706
A00191,487
A00192,1697
A00193,25
A00194,1798
A00195,1198
A00196,506
A00197,991
A00198,237
A00199,381
A00200,1385
A00201,1590
A00202,1077
A00203,392
A00204,740
A00205,346
A00206,1471
A00207,668
A00208,989
A00209,1950
A00210,1590
A00211,1944
A00212,796
A00213,590
A00214,23
A00215,1657
A00216,174
A00217,290
A00218,1885
A00219,242
A00220,553
A00221,1850
A00222,915
A00223,264
A00224,261
A00225,58
A00226,1884
A00227,267
A00228,1083
A00229,1900
A00230,1513
A00231,315
A00232,1705
A00233,112
A00234,1105
A00235,1012
A00236,170
A00237,902
A00238,16
A00239,151
A00240,825
A00241,1586
A00242,24
A00243,833
A00244,708
A00245,1761
A00246,1690
A00247,1107
A00248,2
A00249,141
A00250,1024
A00251,215
A00252,1106
A00253,1994
A00254,1828
A00255,1535
A00256,674
A00257,812
A00258,131
A00259,682
A00260,462
A00261,1203
A00262,1585
A00263,1088
A00264,437
A00265,1275
A00266,239
A00267,683
A00268,1485
A00269,1011
A00270,1487
A00271,1271
A00272,274
A00273,1733
A00274,1417
A00275,967
A00276,1826
A00277,81
A00278,1556
A00279,499
A00280,367
A00281,777
A00282,265
A00283,941
A00284,875
A00285,1297
A00286,1208
A00287,1710
A00288,284
A00289,1570
A00290,338
A00291,1357
A00292,771
A00293,1334
A00294,1689
A00295,1621
A00296,0
A00297,935
A00298,396
A00299,1432
A00300,1522
A00301,1007
A00302,1621
A00303,990
A00304,654
A00305,1752
A00306,1941
A00307,1372
A00308,577
A00309,861
A00310,1708
A00311,592
A00312,1255
A00313,1631
A00314,315
A00315,1684
A00316,937
A00317,643
A00318,212
A00319,1139
A00320,66
A00321,528
A00322,399
A00323,1914
A00324,673
A00325,129
A00326,500
A00327,939
A00328,44
A00329,1796
A00330,966
A00331,891
A00332,1685
A00333,123
A00334,976
A00335,1360
A00336,1155
A00337,1274
A00338,287
A00339,1123
A00340,1356
A00341,1835
A00342,1133
A00343,1423
A00344,1862
A00345,1745
A00346,101
A00347,1139
A00348,1019
A00349,4
A00350,684
A00351,1356
A00352,722
A00353,1257
A00354,1366
A00355,994
A00356,608
A00357,1707
A00358,317
A00359,524
A00360,1251
A00361,1001
A00362,1328
A00363,781
A00364,1894
A00365,817
A00366,907
A00367,1131
A00368,654
A00369,954
A00370,528
A00371,1662
A00372,356
A00373,1089
A00374,1783
A00375,230
A00376,1394
A00377,975
A00378,52
A00379,927
A00380,28
A00381,1361
A00382,1920
A00383,39
A00384,1111
A00385,1609
A00386,168
A00387,427
A00388,757
A00389,1982
A00390,752
A00391,1448
A00392,957
A00393,1763
A00394,1871
A00395,354
A00396,507
A00397,352
A00398,1528
A00399,1044
A00400,838
A00401,969
A00402,484
A00403,64
A00404,1475
A00405,1021
A00406,1000
A00407,1632
A00408,1474
A00409,1136
A00410,1599
A00411,1632
A00412,1654
A00413,1390
A00414,496
A00415,1890
A00416,1080
A00417,1289
A00418,1669
A00419,285
A00420,648
A00421,479
A00422,374
A00423,672
A00424,202
A00425,1080
A00426,705
A00427,592
A00428,1218
A00429,1428
A00430,1723
A00431,1042
A00432,1446
A00433,1007
A00434,89
A00435,1058
A00436,876
A00437,1856
A00438,563
A00439,90
A00440,608
A00441,536
A00442,953
A00443,1621
A00444,382
A00445,1119
A00446,1793
A00447,1566
A00448,1267
A00449,1980
A00450,1274
A00451,1218
A00452,683
A00453,1243
A00454,396
A00455,358
A00456,594
A00457,1812
A00458,1861
A00459,395
A00460,315
A00461,407
A00462,413
A00463,45
A00464,1413
A00465,557
A00466,185
A00467,646
A00468,1300
A00469,1437
A00470,1014
A00471,1224
A00472,725
A00473,1578
A00474,1676
A00475,112
A00476,1526
A00477,753
A00478,290
A00479,1083
A00480,1286
A00481,1138
A00482,1325
A00483,1238
A00484,154
A00485,505
A00486,358
A00487,203
A00488,611
A00489,1731
A00490,463
A00491,1063
A00492,1994
A00493,168
A00494,1774
A00495,201
A00496,122
A00497,907
A00498,208
A00499,1824
A00500,933
A00501,1147
A00502,266
A00503,1829
A00504,965
A00505,49
A00506,492
A00507,1104
A00508,1567
A00509,284
A00510,831
A00511,1841
A00512,1522
A00513,778
A00514,1108
A00515,1177
A00516,1082
A00517,1175
A00518,1891
A00519,907
A00520,198
A00521,1982
A00522,34
A00523,1569
A00524,973
A00525,1950
A00526,1229
A00527,557
A00528,1804
A00529,1474
A00530,1989
A00531,618
A00532,545
A00533,465
A00534,149
A00535,139
A00536,872
A00537,1495
A00538,272
A00539,104
A00540,12
A00541,1254
A00542,635
A00543,327
A00544,899
A00545,622
A00546,1541
A00547,1216
A00548,1059
A00549,597
A00550,1118
A00551,946
A00552,1015
A00553,1300
A00554,1625
A00555,951
A00556,1112
A00557,697
A00558,856
A00559,1014
A00560,820
A00561,1934
A00562,1299
A00563,92
A00564,294
A00565,213
A00566,1296
A00567,1056
A00568,628
A00569,968
A00570,305
A00571,1586
A00572,902
A00573,1787
A00574,895
A00575,944
A00576,1347
A00577,1707
A00578,669
A00579,351
A00580,409
A00581,12
A00582,1497
A00583,1207
A00584,1687
A00585,1043
A00586,1603
A00587,1244
A00588,840
A00589,1198
A00590,1027
A00591,175
A00592,639
A00593,1258
